t,T1,Q1
274.1346981525421,62.28,1.0
275.1347396373749,62.44,1.0
276.13543725013733,62.47,1.0
277.1363971233368,62.47,1.0
278.13701033592224,62.47,1.0
279.13701701164246,62.47,1.0
280.13801288604736,62.47,1.0
281.13901019096375,62.7,1.0
282.1396641731262,62.73,1.0
283.14059591293335,62.79,1.0
284.14063692092896,62.79,1.0
285.1416313648224,62.79,1.0
286.1420087814331,62.79,1.0
287.14264488220215,62.79,1.0
288.1427240371704,62.79,1.0
289.14276909828186,62.95,1.0
290.1435730457306,63.08,1.0
291.14357686042786,63.12,1.0
292.14453530311584,63.12,1.0
293.14490604400635,63.12,1.0
294.14501428604126,63.12,1.0
295.14503288269043,63.15,1.0
296.14599442481995,63.34,1.0
297.1468300819397,63.41,1.0
298.1475205421448,63.44,1.0
299.14752078056335,63.44,1.0
300.1478955745697,63.44,1.0
301.1487171649933,63.44,0.0
302.1496467590332,63.47,0.0
303.15064120292664,63.7,0.0
304.1516101360321,63.73,0.0
305.15254402160645,63.76,0.0
306.15296363830566,63.76,0.0
307.15367126464844,63.76,0.0
308.1546676158905,63.76,0.0
309.15537786483765,63.76,0.0
310.15637493133545,63.76,0.0
311.1563756465912,63.76,0.0
312.15736961364746,63.76,0.0
313.157532453537,63.7,0.0
314.158531665802,63.44,0.0
315.1592240333557,63.44,0.0
316.15926575660706,63.44,0.0
317.1602602005005,63.44,0.0
318.16095757484436,63.44,0.0
319.16117453575134,63.15,0.0
320.16121768951416,63.12,0.0
321.16193890571594,63.12,0.0
322.16213631629944,63.02,0.0
323.16219878196716,62.79,0.0
324.1622018814087,62.79,0.0
325.1622314453125,62.76,0.0
326.1626720428467,62.47,0.0
327.1629695892334,62.47,0.0
328.1630108356476,62.15,0.0
329.16306138038635,62.15,0.0
330.16319942474365,61.83,0.0
331.1641616821289,61.83,0.0
332.16416358947754,61.54,0.0
333.1651554107666,61.5,0.0
334.16576313972473,61.18,0.0
335.16609811782837,61.18,0.0
336.1664454936981,61.05,0.0
337.16739559173584,60.86,0.0
338.1674144268036,60.7,0.0
339.16789174079895,60.54,0.0
340.16789174079895,60.25,0.0
341.1683588027954,60.21,0.0
342.1692440509796,59.89,0.0
343.1702172756195,59.89,0.0
344.1702289581299,59.57,0.0
345.17052364349365,59.54,0.0
346.1713547706604,59.25,0.0
347.1722660064697,59.05,0.0
348.17246103286743,58.93,0.0
349.17247200012207,58.64,0.0
350.173175573349,58.6,0.0
351.1731765270233,58.28,0.0
352.1734230518341,58.28,0.0
353.17368245124817,57.96,0.0
354.17431569099426,57.96,0.0
355.1749219894409,57.64,0.0
356.17495608329773,57.48,0.0
357.1753373146057,57.31,0.0
358.175635099411,56.99,0.0
359.17587065696716,56.99,0.0
360.1768465042114,56.67,0.0
361.1774184703827,56.54,0.0
362.1783776283264,56.35,0.0
363.17931628227234,56.09,0.0
364.179349899292,56.03,0.0
365.1795597076416,55.7,0.0
366.18022179603577,55.7,0.0
367.18033385276794,55.38,0.0
368.18133187294006,55.38,0.0
369.182008266449,55.06,0.0
370.1823625564575,54.8,0.0
371.18271255493164,54.74,0.0
372.182813167572,54.45,0.0
373.1830337047577,54.41,0.0
374.18303537368774,54.09,0.0
